state,lga,date,active_subs,new_subs,churned_subs,arpu_daily_ngn,total_revenue_ngn,data_revenue_ngn,voice_revenue_ngn,vas_revenue_ngn,data_usage_gb,voice_minutes,avg_drop_call_rate,avg_congestion_pct,avg_download_speed,avg_upload_speed,avg_mos_score,avg_call_setup_success,total_data_traffic_tb,total_voice_erlangs,total_monthly_opex,site_count,lga_population,income_index,urban_flag,poi_markets,poi_motor_parks,poi_hospitals,poi_schools,poi_total,road_density_km,penetration_rate,daily_revenue_per_site,daily_opex_per_site,site_profit_proxy,arpu_monthly_est,qoe_below_threshold,subs_7d_change,arpu_7d_change,churn_risk_flag,whitespace_flag
Anambra,Awka South,2026-01-16,345374,1038,424,129.4,44691029.53,19603013.54,18768694.53,6319321.46,124722.25,1891973.85,0.0197,0.177,19.386,6.938,4.138,0.9684,1.0842,150.16,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7195,8938205.91,34086.01,8904119.9,3882.0,0,,,0,0
Anambra,Awka South,2026-01-17,345619,936,412,199.57,68974736.49,30818016.68,27445272.56,10711447.25,161196.73,891498.41,0.0194,0.155,20.076,6.508,4.204,0.969,0.7736999999999999,123.88,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.72,13794947.3,34086.01,13760861.29,5987.1,0,,,0,0
Anambra,Awka South,2026-01-18,346103,544,619,94.75,32794425.58,14951662.15,12887628.17,4955135.26,165015.46,1487702.45,0.0213,0.274,18.854,5.866,3.898,0.9658,1.3382,109.79,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.721,6558885.12,34086.01,6524799.11,2842.5,1,,,0,0
Anambra,Awka South,2026-01-19,345120,533,584,193.56,66802154.57,31541667.84,26435156.52,8825330.22,41276.76,1121630.49,0.024,0.2337,20.374,6.936,3.906,0.9616,0.7946,148.63,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.719,13360430.91,34086.01,13326344.9,5806.8,1,,,0,0
Anambra,Awka South,2026-01-20,345236,559,408,145.57,50254581.42,21239603.31,20905974.23,8109003.87,160366.38,1579426.92,0.0291,0.217,15.202,4.534,3.666,0.9535,1.6647,148.96,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7192,10050916.28,34086.01,10016830.27,4367.1,1,,,0,0
Anambra,Awka South,2026-01-21,347508,1021,281,174.41,60608338.39,26972967.69,24653709.07,8981661.63,164565.56,1226554.04,0.0218,0.2258,16.898,5.432,3.936,0.9652,0.6042,139.59,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.724,12121667.68,34086.01,12087581.67,5232.3,1,,,0,0
Anambra,Awka South,2026-01-22,344829,980,472,169.34,58393511.97,25105170.18,24454157.45,8834184.33,116751.83,1747241.25,0.0253,0.251,20.554,6.478,3.832,0.9595,1.3981000000000001,131.43,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7184,11678702.39,34086.01,11644616.38,5080.2,1,,,0,0
Anambra,Awka South,2026-01-23,347478,615,625,195.73,68010664.13,29225481.19,27996779.54,10788403.41,149277.9,1741622.59,0.028,0.2611,20.944,6.576,3.726,0.9551,1.1928,138.18,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7239,13602132.83,34086.01,13568046.82,5871.9,1,0.0061,0.5126,0,0
Anambra,Awka South,2026-01-24,347495,1151,670,102.3,35547923.76,15249211.39,13976788.54,6321923.83,125135.45,1654451.91,0.0228,0.2067,17.962,5.562,3.952,0.9634,0.8951,133.99,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7239,7109584.75,34086.01,7075498.74,3069.0,1,0.0054,-0.4874,0,0
Anambra,Awka South,2026-01-25,345863,1143,351,146.72,50746599.78,24022015.8,21559835.76,5164748.23,75642.12,1216983.92,0.0237,0.23,19.164,5.976,3.904,0.9622,0.45940000000000003,125.44,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7205,10149319.96,34086.01,10115233.95,4401.6,1,-0.0007,0.5485,0,0
Anambra,Awka South,2026-01-26,347624,635,711,124.43,43253824.85,19128579.48,18400043.78,5725201.6,117129.66,1495237.4,0.0206,0.2369,19.07,6.384,3.996,0.967,1.0094,142.16,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7242,8650764.97,34086.01,8616678.96,3732.9,1,0.0073,-0.3572,0,0
Anambra,Awka South,2026-01-27,346197,644,593,142.01,49163784.95,23348044.95,19198079.0,6617661.01,121970.21,1735801.9,0.0239,0.2594,19.508,5.366,3.846,0.9617,0.32120000000000004,128.03,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7212,9832756.99,34086.01,9798670.98,4260.3,1,0.0028,-0.0245,0,0
Anambra,Awka South,2026-01-28,345762,976,479,121.64,42058980.31,19388193.42,16631858.03,6038928.86,112449.82,1704725.01,0.0236,0.2539,16.806,4.968,3.818,0.9622,0.3183,131.4,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7203,8411796.06,34086.01,8377710.05,3649.2,1,-0.005,-0.3026,0,0
Anambra,Awka South,2026-01-29,348247,668,678,146.14,50892312.74,24065523.25,21730674.24,5096115.24,124760.89,1086849.42,0.0193,0.2025,17.156,5.986,4.07,0.9692,2.3075,134.88,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7255,10178462.55,34086.01,10144376.54,4384.2,0,0.0099,-0.137,0,0
Anambra,Awka South,2026-01-30,346942,825,634,141.31,49026629.2,21109322.29,20961491.28,6955815.63,128408.56,1433088.82,0.0188,0.2405,17.762,5.926,4.03,0.97,1.6965000000000001,133.41,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7228,9805325.84,34086.01,9771239.83,4239.3,0,-0.0015,-0.278,0,0
Anambra,Awka South,2026-01-31,346379,1045,489,165.37,57281426.71,26151864.65,23491868.35,7637693.72,134677.48,976845.35,0.0142,0.1607,16.536,5.402,4.31,0.9772,0.6289,114.75,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7216,11456285.34,34086.01,11422199.33,4961.1,0,-0.0032,0.6165,0,0
Anambra,Awka South,2026-02-01,346843,545,757,162.12,56230171.47,26209620.26,22409514.16,7611037.05,170104.69,1305041.03,0.021,0.1855,16.552,5.666,4.03,0.9664,0.8652,133.84,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7226,11246034.29,34086.01,11211948.28,4863.6,1,0.0028,0.105,0,0
Anambra,Awka South,2026-02-02,347720,1054,307,134.29,46696368.97,19762635.63,18995949.5,7937783.84,113138.1,1770802.56,0.0241,0.2447,21.386,6.66,3.902,0.9614,1.1457,136.02,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7244,9339273.79,34086.01,9305187.78,4028.7,1,0.0003,0.0792,0,0
Anambra,Awka South,2026-02-03,349087,969,488,163.35,57021895.0,25386645.39,22556818.36,9078431.25,150187.98,1125649.37,0.0221,0.2896,16.854,5.428,3.808,0.9646,0.7148,124.77,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7273,11404379.0,34086.01,11370292.99,4900.5,1,0.0083,0.1503,0,0
Anambra,Awka South,2026-02-04,348168,560,654,142.71,49688068.95,21930498.31,20893203.24,6864367.4,141001.31,1184369.89,0.0193,0.2825,14.872,4.174,3.884,0.969,0.8667,116.55,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7254,9937613.79,34086.01,9903527.78,4281.3,0,0.007,0.1732,0,0
Anambra,Awka South,2026-02-05,348335,1043,600,153.03,53304465.76,25581721.03,21058329.1,6664415.63,180155.61,556253.48,0.0254,0.2626,17.892,5.562,3.762,0.9594,0.8786999999999999,125.87,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7257,10660893.15,34086.01,10626807.14,4590.9,1,0.0003,0.0471,0,0
Anambra,Awka South,2026-02-06,348013,1047,282,152.42,53045293.52,23504381.68,21776400.3,7764511.55,37430.03,1347994.72,0.0225,0.2392,16.926,5.632,3.89,0.9641,0.4306,140.3,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.725,10609058.7,34086.01,10574972.69,4572.6,1,0.0031,0.0786,0,0
Anambra,Awka South,2026-02-07,347922,904,720,125.33,43605362.75,19622483.54,18844179.07,5138700.14,108216.47,1455769.26,0.0255,0.2114,22.01,7.108,3.924,0.9592,0.5991,105.94,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7248,8721072.55,34086.01,8686986.54,3759.9,1,0.0045,-0.2421,0,0
Anambra,Awka South,2026-02-08,348596,815,633,203.76,71029134.89,31854201.11,30024205.84,9150727.94,146098.49,1269199.19,0.0197,0.233,17.248,5.32,4.004,0.9686,1.1341,112.21000000000001,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7262,14205826.98,34086.01,14171740.97,6112.8,0,0.0051,0.2568,0,0
Anambra,Awka South,2026-02-09,349372,985,375,130.97,45756375.68,21628141.93,18814709.31,5313524.44,120097.02,925415.94,0.0204,0.2577,23.546,7.858,4.046,0.9674,1.4941,144.61,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7279,9151275.14,34086.01,9117189.13,3929.1,1,0.0048,-0.0247,0,0
Anambra,Awka South,2026-02-10,350308,987,323,146.39,51282967.98,22109232.9,20127864.76,9045870.31,88479.8,1401528.16,0.014,0.2679,17.28,5.296,4.14,0.9777,1.1441,138.14,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7298,10256593.6,34086.01,10222507.59,4391.7,0,0.0035,-0.1038,0,0
Anambra,Awka South,2026-02-11,349140,1017,536,118.48,41366509.85,18653853.33,16281683.35,6430973.18,116469.09,898328.59,0.0252,0.2103,16.956,5.67,3.844,0.9597,0.6962,148.07,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7274,8273301.97,34086.01,8239215.96,3554.4,1,0.0028,-0.1698,0,0
Anambra,Awka South,2026-02-12,349207,880,525,169.28,59114621.6,27100598.41,23656504.96,8357518.23,92770.67,1538028.66,0.0274,0.2633,20.134,6.694,3.73,0.9562,0.5931,155.69,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7275,11822924.32,34086.01,11788838.31,5078.4,1,0.0025,0.1062,0,0
Anambra,Awka South,2026-02-13,350850,579,317,156.22,54810424.37,23365101.8,21899024.61,9546297.96,98339.87,1695196.67,0.0139,0.2909,20.53,6.11,4.158,0.9777,0.9072,131.05,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7309,10962084.87,34086.01,10927998.86,4686.6,0,0.0082,0.0249,0,0
Anambra,Awka South,2026-02-14,350032,1140,349,107.39,37589418.82,16162103.79,15102504.74,6324810.29,154544.55,975371.03,0.0238,0.187,11.47,3.54,3.836,0.9619,1.6916,127.67,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7292,7517883.76,34086.01,7483797.75,3221.7,1,0.0061,-0.1431,0,0
Anambra,Awka South,2026-02-15,349807,899,421,139.7,48867392.25,21899689.9,19644444.98,7323257.36,173539.77,1398504.99,0.017,0.1901,14.68,4.57,4.126,0.9727,0.2569,135.45,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7288,9773478.45,34086.01,9739392.44,4191.0,0,0.0035,-0.3144,0,0
Anambra,Awka South,2026-02-16,348351,1177,543,89.67,31237533.86,14312789.06,12225845.34,4698899.45,109602.11,1211106.57,0.0179,0.2867,19.314,6.248,4.008,0.9714,0.5761999999999999,128.6,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7257,6247506.77,34086.01,6213420.76,2690.1,0,-0.0029,-0.3153,0,0
Anambra,Awka South,2026-02-17,351365,1086,603,113.52,39885969.03,17294507.51,16422414.6,6169046.92,143305.29,1625571.84,0.0166,0.2735,16.058,5.25,4.018,0.9735,0.6129,115.45,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.732,7977193.81,34086.01,7943107.8,3405.6,0,0.003,-0.2245,0,0
Anambra,Awka South,2026-02-18,350961,1157,502,68.13,23910081.82,10896066.49,9915942.16,3098073.16,156449.69,1162261.39,0.0253,0.2578,21.276,6.302,3.834,0.9596,0.5667,118.64,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7312,4782016.36,34086.01,4747930.35,2043.9,1,0.0052,-0.425,0,0
Anambra,Awka South,2026-02-19,351097,608,757,157.14,55171862.87,24740247.35,23173996.34,7257619.17,109550.31,1062783.11,0.0198,0.291,19.486,6.19,3.934,0.9683,0.7283,129.88,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7315,11034372.57,34086.01,11000286.56,4714.2,0,0.0054,-0.0717,0,0
Anambra,Awka South,2026-02-20,352005,1142,570,148.89,52408527.21,23553244.58,21311109.03,7544173.6,136313.91,1122725.25,0.0177,0.2533,15.804,5.06,4.01,0.9716,0.4325,140.79,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7333,10481705.44,34086.01,10447619.43,4466.7,0,0.0033,-0.0469,0,0
Anambra,Awka South,2026-02-21,350635,1001,425,177.17,62122738.77,26964704.19,27247780.37,7910254.22,132773.39,1072789.74,0.0203,0.2199,19.92,6.162,4.054,0.9675,0.6865,100.41,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7305,12424547.75,34086.01,12390461.74,5315.1,1,0.0017,0.6498,0,0
Anambra,Awka South,2026-02-22,352189,729,461,124.79,43949864.37,20709086.85,19024822.19,4215955.33,111619.09,1126998.4,0.0239,0.1771,15.704,5.112,3.926,0.9617,1.1946,124.27000000000001,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7337,8789972.87,34086.01,8755886.86,3743.7,1,0.0068,-0.1067,0,0
Anambra,Awka South,2026-02-23,349945,1153,425,122.87,42997102.49,20318245.77,17178540.52,5500316.21,86285.12,1440277.61,0.023,0.2219,16.286,5.608,3.89,0.9633,0.8864,131.08,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7291,8599420.5,34086.01,8565334.49,3686.1,1,0.0046,0.3702,0,0
Anambra,Awka South,2026-02-24,349839,876,516,135.76,47493277.57,19978416.56,19966973.32,7547887.69,84327.86,1505721.84,0.021,0.195,19.432,6.324,4.062,0.9664,0.6912,131.47,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7288,9498655.51,34086.01,9464569.5,4072.8,1,-0.0043,0.1959,0,0
Anambra,Awka South,2026-02-25,351401,628,645,71.67,25186359.02,12031300.05,11023016.53,2132042.43,150834.27,1522578.33,0.0262,0.2505,16.43,4.84,3.726,0.958,0.7935,138.65,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7321,5037271.8,34086.01,5003185.79,2150.1,1,0.0013,0.052,0,0
Anambra,Awka South,2026-02-26,351317,1206,680,123.72,43463486.11,18768793.85,17771483.95,6923208.32,138679.87,1568349.22,0.0194,0.2008,15.318,4.97,4.036,0.9689,1.6641,126.67,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7319,8692697.22,34086.01,8658611.21,3711.6,0,0.0006,-0.2127,0,0
Anambra,Awka South,2026-02-27,350809,940,567,176.12,61785860.29,28350565.58,25151371.3,8283923.41,86426.54,1449847.14,0.0179,0.2433,16.242,4.946,4.032,0.9715,0.37279999999999996,110.61,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7309,12357172.06,34086.01,12323086.05,5283.6,0,-0.0034,0.1829,0,0
Anambra,Awka South,2026-02-28,351892,700,428,168.93,59445495.28,27271622.21,26051906.61,6121966.46,107246.08,1464293.53,0.0272,0.2041,19.332,5.704,3.83,0.9565,0.39030000000000004,145.37,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7331,11889099.06,34086.01,11855013.05,5067.9,1,0.0036,-0.0465,0,0
Anambra,Awka South,2026-03-01,352554,1189,330,129.45,45637305.62,19180533.88,20024300.67,6432471.07,128133.69,1517029.47,0.0179,0.1804,19.098,6.134,4.196,0.9715,1.0423,141.07,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7345,9127461.12,34086.01,9093375.11,3883.5,0,0.001,0.0373,0,0
Anambra,Awka South,2026-03-02,352025,971,356,129.05,45427134.03,21142732.64,18485194.45,5799206.94,68436.34,1836774.17,0.026,0.2324,17.02,4.882,3.78,0.9585,0.4268,130.51,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7334,9085426.81,34086.01,9051340.8,3871.5,1,0.0059,0.0503,0,0
Anambra,Awka South,2026-03-03,350830,621,473,179.31,62908492.61,28581497.92,26833053.77,7493940.92,80330.65,1322671.91,0.0153,0.2405,19.678,6.07,4.19,0.9756,0.556,113.78,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7309,12581698.52,34086.01,12547612.51,5379.3,0,0.0028,0.3208,0,0
Anambra,Awka South,2026-03-04,352697,802,526,149.1,52587641.28,23244073.72,23008036.68,6335530.88,82025.2,1027466.56,0.0255,0.333,18.102,6.102,3.632,0.9592,0.3841,138.21,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7348,10517528.26,34086.01,10483442.25,4473.0,1,0.0037,1.0804,0,0
Anambra,Awka South,2026-03-05,352406,595,718,136.94,48256900.04,21480654.33,20843745.37,5932500.33,100186.89,1359520.41,0.0216,0.2551,15.0,4.628,3.858,0.9655,0.6814,152.31,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7342,9651380.01,34086.01,9617294.0,4108.2,1,0.0031,0.1069,0,0
Anambra,Awka South,2026-03-06,352193,847,751,171.25,60311431.92,26653164.11,23990238.54,9668029.27,89483.2,1386334.51,0.018,0.2609,17.058,5.492,4.006,0.9712,1.4508,140.04000000000002,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7337,12062286.38,34086.01,12028200.37,5137.5,0,0.0039,-0.0277,0,0
Anambra,Awka South,2026-03-07,353260,530,484,135.29,47793712.93,22268959.47,20321117.72,5203635.74,163252.54,1025823.61,0.0193,0.1943,16.89,5.222,4.078,0.9691,0.3029,115.96000000000001,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.736,9558742.59,34086.01,9524656.58,4058.7,0,0.0039,-0.1991,0,0
Anambra,Awka South,2026-03-08,354125,786,472,204.1,72277504.98,33381357.54,30885579.89,8010567.56,153945.15,1112181.3,0.0283,0.2327,19.854,5.94,3.746,0.9546,1.6295000000000002,104.68,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7378,14455501.0,34086.01,14421414.99,6123.0,1,0.0045,0.5767,0,0
Anambra,Awka South,2026-03-09,353941,563,515,108.98,38573425.01,17733372.8,15385015.19,5455037.02,146112.05,1330678.45,0.0287,0.1994,19.438,6.01,3.784,0.954,0.4881,116.43,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7374,7714685.0,34086.01,7680598.99,3269.4,1,0.0054,-0.1555,0,0
Anambra,Awka South,2026-03-10,351397,844,494,142.55,50090626.5,23899535.01,19837674.08,6353417.42,168565.07,1312812.42,0.0236,0.2181,16.534,4.642,3.88,0.9623,1.2326,158.29,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7321,10018125.3,34086.01,9984039.29,4276.5,1,0.0016,-0.205,0,0
Anambra,Awka South,2026-03-11,351672,978,753,147.29,51798286.6,24412324.3,20674951.68,6711010.61,108605.45,1688718.74,0.017,0.2685,18.994,6.01,4.064,0.9728,1.0504,139.44,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7326,10359657.32,34086.01,10325571.31,4418.7,0,-0.0029,-0.0121,0,0
Anambra,Awka South,2026-03-12,353870,1046,579,212.19,75087277.55,35004404.88,30145054.81,9937817.85,113236.69,1371704.06,0.0232,0.2367,18.954,5.808,3.902,0.9628,0.5781999999999999,143.45,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7372,15017455.51,34086.01,14983369.5,6365.7,1,0.0042,0.5495,0,0
Anambra,Awka South,2026-03-13,352941,534,505,115.02,40594284.14,17438147.18,17775499.46,5380637.51,166581.15,1036248.64,0.0256,0.2628,18.162,5.86,3.758,0.9591,1.0634000000000001,138.53,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7353,8118856.83,34086.01,8084770.82,3450.6,1,0.0021,-0.3284,0,0
Anambra,Awka South,2026-03-14,354686,1154,357,160.79,57029296.48,25944552.21,24763807.44,6320936.83,97742.14,1536437.62,0.0215,0.1966,19.46,5.974,4.044,0.9656,0.7333,108.52,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7389,11405859.3,34086.01,11371773.29,4823.7,1,0.004,0.1885,0,0
Anambra,Awka South,2026-03-15,352192,938,519,145.85,51365804.43,22016969.92,21007150.9,8341683.61,134772.1,1302004.18,0.0195,0.2016,19.902,6.59,4.114,0.9688,1.1671,132.34,5112902,5,480000,61,1,61,7,10,30,108,413.4,0.7337,10273160.89,34086.01,10239074.88,4375.5,0,-0.0055,-0.2854,0,0
